Date,Article DOI,Review ID
2019-10-10T00:00:00.000Z,10.1101/352609,doi:10.24072/pci.paleo.100002
2018-09-19T00:00:00.000Z,10.1101/318121,doi:10.24072/pci.paleo.100001
